O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123122
 ,K,Trippier        ,TOT ,D,0.47 ,0.53 ,4.5,4.8 ,1083,5.3  ,4.6 ,-5122  ,      
 ,G,Sigurdsson      ,EVE ,M,0.17 ,0.21 ,3.4,3.7 ,1653,8.0  ,2.3 ,-5436  ,      
 ,A,Gray            ,WAT ,F,0.08 ,0.25 ,2.5,3.6 ,1030,6.3  ,1.7 ,-5494  ,      
 ,T,Bakayoko        ,CHE ,M,0.22 ,0.38 ,3.1,3.9 ,1370,5.0  ,2.5 ,-5709  ,      
 ,W,Zaha            ,CRY ,M,0.3  ,0.3  ,4.1,4.1 ,1336,6.9  ,5.5 ,-5908  ,      
 ,J,McArthur        ,CRY ,M,0.09 ,0.16 ,2.4,2.7 ,936 ,4.3  ,2.9 ,-6061  ,      
 ,R,Klavan          ,LIV ,D,0.41 ,0.48 ,3.8,4.1 ,1081,4.4  ,2.3 ,-6170  ,      
 ,C,Fàbregas        ,CHE ,M,0.16 ,0.25 ,3.1,3.7 ,1275,6.8  ,3.6 ,-6189  ,      
 ,A,Hegazi          ,WBA ,D,0.24 ,0.24 ,3.1,3.1 ,1856,4.5  ,18.9,-6633  ,      
 ,S,Davis           ,SOU ,M,0.31 ,0.39 ,3.5,3.9 ,1291,4.9  ,2.7 ,-7304  ,      
 ,H,Gomes           ,WAT ,G,0.18 ,0.18 ,2.8,2.8 ,1858,4.5  ,2.3 ,-7485  ,      
 ,M,Holgate         ,EVE ,D,0.3  ,0.3  ,3.3,3.3 ,900 ,4.3  ,2.0 ,-7723  ,      
 ,M,Lowton          ,BUR ,D,0.47 ,0.47 ,4.1,4.1 ,1170,4.5  ,2.2 ,-8364  ,      
 ,A,Williams        ,EVE ,D,0.19 ,0.29 ,3.0,3.5 ,1338,5.2  ,3.2 ,-8904  ,      
 ,B,Foster          ,WBA ,G,0.32 ,0.32 ,3.4,3.4 ,1800,4.4  ,9.7 ,-9149  ,      
 ,M,Diouf           ,STK ,F,0.2  ,0.25 ,3.1,3.4 ,1617,5.5  ,3.8 ,-9326  ,      
 ,A,Mooy            ,HUD ,M,0.3  ,0.31 ,3.6,3.7 ,1798,5.4  ,7.1 ,-9727  ,      
 ,F,Kiko Femenía    ,WAT ,D,0.32 ,0.36 ,3.4,3.6 ,1214,4.4  ,2.3 ,-9984  ,      
 ,R,Bertrand        ,SOU ,D,0.23 ,0.23 ,3.2,3.2 ,1615,5.3  ,5.2 ,-10054 ,      
 ,M,Zanka           ,HUD ,D,0.22 ,0.22 ,3.0,3.0 ,1890,4.6  ,8.2 ,-10380 ,      
 ,C,Austin          ,SOU ,F,0.21 ,0.85 ,3.3,7.2 ,596 ,6.1  ,1.7 ,-10794 ,      
 ,J,Gomez           ,LIV ,D,0.38 ,0.45 ,3.8,4.1 ,1271,4.7  ,6.3 ,-11305 ,      
 ,L,Fabianski       ,SWA ,G,0.46 ,0.46 ,4.1,4.1 ,1890,4.6  ,8.0 ,-11514 ,      
 ,G,Xhaka           ,ARS ,M,0.21 ,0.21 ,3.1,3.1 ,1810,5.2  ,7.4 ,-11883 ,      
 ,D,Simpson         ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,1659,4.4  ,2.4 ,-12302 ,      
 ,F,Forster         ,SOU ,G,0.33 ,0.33 ,3.6,3.6 ,1800,4.9  ,6.1 ,-12538 ,      
 ,C,Daniels         ,BOU ,D,0.26 ,0.26 ,3.2,3.2 ,1585,4.7  ,6.8 ,-12839 ,      
 ,C,Azpilicueta     ,CHE ,D,0.53 ,0.51 ,5.7,5.6 ,1800,7.0  ,23.2,-13128 ,      
 ,T,Courtois        ,CHE ,G,0.44 ,0.44 ,4.4,4.4 ,1890,5.5  ,13.6,-13144 ,      
 ,J,Kenny           ,EVE ,D,0.26 ,0.3  ,3.2,3.4 ,1184,4.6  ,6.9 ,-14133 ,      
 ,P,Groß            ,BHA ,M,0.46 ,0.53 ,4.7,5.1 ,1598,5.9  ,17.7,-14879 ,      
 ,A,Lacazette       ,ARS ,F,0.19 ,0.22 ,4.0,4.3 ,1434,10.3 ,9.1 ,-14912 ,      
 ,C,Kabasele        ,WAT ,D,0.13 ,0.15 ,2.6,2.7 ,1679,4.6  ,2.3 ,-14951 ,      
x,P,Coutinho        ,LIV ,M,0.59 ,0.63 ,7.4,7.8 ,1109,9.2  ,15.2,-15556 ,      
 ,M,Özil            ,ARS ,M,0.29 ,0.34 ,4.7,5.2 ,1370,9.3  ,2.6 ,-15662 ,      
 ,H,Bellerín        ,ARS ,D,0.28 ,0.28 ,3.7,3.7 ,1890,6.0  ,11.1,-16774 ,      
 ,A,Mariappa        ,WAT ,D,-0.1 ,-0.05,1.6,1.8 ,1029,4.1  ,5.4 ,-17798 ,      
 ,T,Abraham         ,SWA ,F,0.21 ,0.23 ,3.2,3.3 ,1390,5.6  ,6.7 ,-18575 ,      
 ,C,Smalling        ,MUN ,D,0.28 ,0.32 ,3.5,3.7 ,1185,5.3  ,2.3 ,-20227 ,      
 ,A,Doucouré        ,WAT ,M,0.42 ,0.42 ,4.2,4.2 ,1800,5.3  ,12.4,-21943 ,      
 ,R,Loftus-Cheek    ,CRY ,M,0.28 ,0.33 ,3.3,3.5 ,1329,4.6  ,8.1 ,-22786 ,      
 ,X,Shaqiri         ,STK ,M,0.36 ,0.39 ,4.2,4.4 ,1558,6.1  ,6.9 ,-25362 ,      
x,K,Naughton        ,SWA ,D,0.22 ,0.22 ,3.0,3.0 ,1876,4.6  ,4.8 ,-25624 ,      
 ,S,Kolasinac       ,ARS ,D,0.43 ,0.47 ,4.6,4.8 ,1423,6.0  ,10.7,-28278 ,      
 ,W,Rooney          ,EVE ,F,0.45 ,0.53 ,5.4,6.0 ,1277,7.5  ,16.8,-28419 ,      
 ,A,Valencia        ,MUN ,D,0.47 ,0.47 ,5.2,5.2 ,1595,6.8  ,9.5 ,-30564 ,      
x,A,Christensen     ,CHE ,D,0.34 ,0.41 ,3.9,4.3 ,1133,5.6  ,4.7 ,-32239 ,      
 ,D,de Gea          ,MUN ,G,0.53 ,0.53 ,5.1,5.1 ,1890,5.9  ,42.9,-34308 ,      
 ,A,Young           ,MUN ,M,0.43 ,0.47 ,4.2,4.4 ,1434,5.1  ,5.2 ,-35222 ,      
 ,G,Jesus           ,MCI ,F,0.23 ,0.37 ,4.3,5.7 ,1007,10.0 ,7.3 ,-37629 ,      
 ,A,Surman          ,BOU ,M,0.4  ,0.4  ,3.9,3.9 ,1530,4.7  ,6.4 ,-38956 ,      
 ,P,Pogba           ,MUN ,M,0.47 ,0.47 ,5.7,5.7 ,952 ,7.9  ,11.5,-42184 ,      
 ,R,Elliot          ,NEW ,G,0.39 ,0.39 ,3.6,3.6 ,1440,4.1  ,22.0,-46416 ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.2  ,0.29 ,3.1,3.6 ,1511,5.5  ,13.6,-46516 ,      
 ,L,Sané            ,MCI ,M,0.39 ,0.47 ,5.3,6.0 ,1276,8.5  ,13.0,-50989 ,      
 ,S,Ward            ,BUR ,D,0.52 ,0.56 ,4.5,4.7 ,1470,4.8  ,11.4,-54033 ,      
 ,N,Monreal         ,ARS ,D,0.44 ,0.47 ,4.5,4.7 ,1665,5.7  ,7.0 ,-54670 ,      
 ,R,Richarlison     ,WAT ,M,0.4  ,0.4  ,4.6,4.6 ,1811,6.5  ,17.0,-77226 ,      
 ,D,David Silva     ,MCI ,M,0.47 ,0.51 ,5.8,6.1 ,1516,8.1  ,11.5,-86537 ,      
 ,Á,Morata          ,CHE ,F,0.3  ,0.33 ,5.2,5.5 ,1334,10.6 ,19.5,-118082,      
 ,E,Hazard          ,CHE ,M,0.28 ,0.39 ,5.0,6.2 ,1110,10.7 ,9.6 ,-131017,      
 ,K,De Bruyne       ,MCI ,M,0.39 ,0.39 ,6.0,6.0 ,1796,10.3 ,23.3,-155669,      
x,M,Salah           ,LIV ,M,0.59 ,0.64 ,8.0,8.5 ,1586,10.1 ,56.7,-167160,      
 ,R,Lukaku          ,MUN ,F,0.24 ,0.26 ,4.7,4.9 ,1813,11.3 ,25.9,-195087,      
